Date Time,Consumption [kW],Generator [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature
1574274600,0.993489888,0.00358435,0.02133135,0.4567976,0.12750205,0.0324786,0.003591316,36.97122
1574274601,0.995087424,0.0035672,0.021348525,0.4582768,0.127348,0.032634,0.003574134,36.97122
1574274602,0.992407114,0.0035672,0.02133135,0.4603408,0.126868733,0.032651267,0.003574134,36.97122
1574274603,1.088507779,0.00358435,0.11016045,0.460874,0.126457933,0.032634,0.003591316,36.97122
1574274604,1.213488346,0.0035672,0.2441598,0.4608224,0.12616695,0.032634,0.003574134,36.97122
1574274605,1.482371405,0.0035329,0.518599125,0.4613384,0.1256021,0.0325822,0.003539766,36.97122
1574274606,1.45505354,0.00355005,0.5146317,0.4574512,0.12534535,0.0326858,0.00355695,36.97122
1574274607,1.525007866,0.00351575,0.4924416,0.4585004,0.1250886,0.032875733,0.003522584,36.97122
1574274608,1.733113555,0.00351575,0.461303325,0.4555936,0.124900317,0.032910267,0.003522584,36.97122
1574274609,1.848224899,0.00351575,0.176782275,0.4527728,0.124917433,0.032806667,0.003522584,36.97122
1574274610,1.688151792,0.00351575,0.02277405,0.4542864,0.12472915,0.032806667,0.003522584,36.97122
1574274611,1.608523498,0.0035329,0.02263665,0.4509324,0.12452375,0.032893,0.003539766,36.97122
1574274612,1.554793037,0.00355005,0.022550775,0.4540284,0.124301233,0.032927533,0.00355695,36.97122
1574274613,0.895241424,0.0035329,0.021588975,0.4590164,0.035962117,0.032927533,0.003539766,36.97122
1574274614,0.748924877,0.0035329,0.0213657,0.458036,0.004912483,0.032893,0.003539766,36.97122
1574274615,0.609069475,0.00355005,0.021279825,0.3176324,0.005049417,0.032875733,0.00355695,36.97122
1574274616,0.517317657,0.00355005,0.021245475,0.2275044,0.005117883,0.032979333,0.00355695,36.97122
1574274617,0.557185056,0.0035329,0.02126265,0.2683716,0.00508365,0.0329966,0.003539766,36.97122
1574274618,0.571065869,0.00355005,0.021314175,0.2807728,0.00508365,0.033013867,0.00355695,36.97122
1574274619,0.56888257,0.00355005,0.021297,0.2787088,0.00508365,0.0330484,0.00355695,36.97122
1574274620,0.568527562,0.00355005,0.02126265,0.2786744,0.00508365,0.032962067,0.00355695,36.97122
1574274621,0.557682067,0.00355005,0.021176775,0.2681308,0.00508365,0.032875733,0.00355695,36.97122
1574274622,0.614785104,0.00351575,0.021314175,0.265224,0.005117883,0.032823933,0.003522584,36.97122
1574274623,0.72375481,0.0035329,0.0215031,0.2653272,0.005152117,0.032858467,0.003539766,36.97122
1574274624,1.377253536,0.0034986,0.11071005,0.2622312,0.0053404,0.032703067,0.0035054,36.97122
1574274625,1.64723712,0.0035329,0.22729395,0.2620592,0.00569985,0.032185067,0.003539766,36.97122
1574274626,1.940846486,0.00351575,0.511797825,0.2626784,0.005049417,0.032081467,0.003522584,36.97122
1574274627,2.814343671,0.0020923,0.513961875,0.2637104,0.004689967,0.091237067,0.002096366,36.97122
1574274628,1.852449494,0.0032242,0.509530725,0.2640028,0.00487825,0.117603267,0.003230466,36.97122
1574274629,1.264396493,0.00317275,0.467658075,0.2642264,0.004689967,0.032910267,0.003178916,36.97122
1574274630,1.268390333,0.00317275,0.3992157,0.2650864,0.005066533,0.032893,0.003178916,36.97122
1574274631,0.887253744,0.0031556,0.021279825,0.26273,0.004946717,0.032893,0.003161734,36.97122
1574274632,0.888531772,0.0031556,0.021245475,0.2647596,0.004946717,0.032875733,0.003161734,36.97122
1574274633,0.89508167,0.0031556,0.0212283,0.2642092,0.004946717,0.032823933,0.003161734,36.97122
1574274634,0.926286873,0.00313845,0.021176775,0.2643812,0.004946717,0.032979333,0.00314455,36.97122
